"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2026","30,266.1","30,296.9","30,340.6","30,266.1","","0.01%"
"03/29/2026","30,264.4","30,296.9","30,294.7","30,259.2","","-0.17%"
"03/27/2026","30,314.5","30,377.4","30,422.5","30,293.4","","-0.21%"
"03/26/2026","30,377.4","30,458.0","30,489.7","30,355.0","","-0.26%"
"03/25/2026","30,456.7","30,595.2","30,655.8","30,447.4","","-0.45%"
"03/24/2026","30,593.9","30,592.4","30,650.6","30,459.5","","0.01%"
"03/23/2026","30,589.8","30,368.0","30,660.9","30,250.0","","0.47%"
"03/20/2026","30,445.6","30,467.5","30,491.3","30,324.6","","-0.07%"
"03/19/2026","30,467.5","30,130.2","30,539.8","30,106.5","","1.12%"
"03/18/2026","30,130.2","30,350.2","30,403.8","30,123.6","","-0.72%"
"03/17/2026","30,348.9","30,248.0","30,371.2","30,116.5","","0.34%"
"03/16/2026","30,245.3","30,012.0","30,300.5","29,969.7","","0.76%"
"03/13/2026","30,018.5","30,245.2","30,310.5","30,004.1","","-0.75%"
"03/12/2026","30,246.5","30,364.7","30,410.9","30,232.2","","-0.39%"
"03/11/2026","30,363.4","30,462.8","30,583.1","30,346.3","","-0.32%"
"03/10/2026","30,460.2","30,579.1","30,634.5","30,400.0","","-0.38%"
"03/09/2026","30,577.8","30,355.8","30,583.1","30,172.4","","0.30%"
"03/06/2026","30,486.9","30,435.6","30,530.4","30,295.4","","0.18%"
"03/05/2026","30,431.7","30,504.4","30,556.9","30,301.9","","-0.23%"
"03/04/2026","30,503.0","30,423.5","30,562.0","30,325.2","","0.24%"
"03/03/2026","30,430.0","30,583.0","30,684.7","30,207.3","","-0.51%"
"03/02/2026","30,585.6","30,708.4","30,904.0","30,539.8","","-0.60%"
"02/27/2026","30,769.6","30,762.0","30,844.3","30,662.0","","0.02%"
"02/26/2026","30,762.0","30,826.5","30,922.1","30,700.7","","-0.21%"
"02/25/2026","30,827.8","30,839.4","30,913.1","30,724.7","","-0.03%"
"02/24/2026","30,838.1","30,783.7","30,910.7","30,741.3","","0.18%"
"02/23/2026","30,783.7","30,604.4","30,861.7","30,604.4","","0.61%"
"02/20/2026","30,596.6","30,575.8","30,666.7","30,496.6","","0.07%"
