Date,Price,Open,High,Low,Change,TimeIndex,Price_lag1,Price_lag2
2021-01-05,28379.2,28266.1,28416.9,28262.6,0.44,3,28256.1,28331.0
2021-01-06,28458.4,28391.5,28519.2,28324.1,0.28,4,28379.2,28256.1
2021-01-07,28316.7,28465.0,28510.0,28259.1,-0.5,5,28458.4,28379.2
2021-01-08,28182.0,28324.9,28337.3,28122.7,-0.48,6,28316.7,28458.4
2021-01-11,28003.4,28181.6,28204.6,27975.2,-0.63,7,28182.0,28316.7
2021-01-12,28150.8,28022.5,28165.3,27989.5,0.53,8,28003.4,28182.0
2021-01-13,28038.9,28161.9,28193.2,27999.2,-0.4,9,28150.8,28003.4
2021-01-14,28036.6,28040.7,28091.4,27932.3,-0.01,10,28038.9,28150.8
2021-01-15,27857.9,28033.7,28054.5,27849.9,-0.64,11,28036.6,28038.9
2021-01-18,27858.1,27875.3,27917.5,27806.8,0,12,27857.9,28036.6
2021-01-19,27973.5,27863.3,28020.3,27853.0,0.41,13,27858.1,27857.9
2021-01-20,27926.3,27981.1,28054.8,27864.1,-0.17,14,27973.5,27858.1
2021-01-21,28045.6,27932.2,28086.6,27924.1,0.43,15,27926.3,27973.5
2021-01-22,28069.3,28062.3,28127.1,28023.6,0.08,16,28045.6,27926.3
2021-01-25,27987.9,28073.4,28114.6,27950.5,-0.29,17,28069.3,28045.6
2021-01-26,28047.3,28002.4,28091.2,27930.2,0.21,18,27987.9,28069.3
2021-01-27,27936.6,28054.3,28078.2,27815.5,-0.39,19,28047.3,27987.9
2021-01-28,27949.8,27937.8,28000.0,27854.7,0.05,20,27936.6,28047.3
2021-01-29,27971.1,27951.6,28019.5,27865.3,0.08,21,27949.8,27936.6
2021-02-01,27790.0,27981.5,27995.3,27780.3,-0.65,22,27971.1,27949.8
2021-02-02,27726.8,27791.8,27882.7,27658.4,-0.23,23,27790.0,27971.1
2021-02-03,27700.0,27734.4,27790.5,27631.6,-0.1,24,27726.8,27790.0
2021-02-04,27530.5,27705.2,27725.9,27531.0,-0.61,25,27700.0,27726.8
2021-02-05,27696.6,27547.1,27728.2,27490.6,0.6,26,27530.5,27700.0
2021-02-08,27674.3,27708.6,27743.3,27613.4,-0.08,27,27696.6,27530.5
2021-02-09,27881.2,27696.5,27899.9,27687.3,0.75,28,27674.3,27696.6
2021-02-10,27878.9,27891.9,27950.6,27866.6,-0.01,29,27881.2,27674.3
2021-02-11,27906.5,27889.6,27963.2,27876.9,0.1,30,27878.9,27881.2
2021-02-12,27883.5,27917.2,27929.8,27804.4,-0.08,31,27906.5,27878.9
2021-02-15,27906.5,27901.1,27952.9,27885.0,0.08,32,27883.5,27906.5
2021-02-16,27853.6,27913.7,28010.4,27835.5,-0.19,33,27906.5,27883.5
2021-02-17,27697.1,27862.0,27873.5,27668.6,-0.56,34,27853.6,27906.5
2021-02-18,27820.5,27704.3,27839.6,27685.3,0.45,35,27697.1,27853.6
2021-02-19,27890.9,27829.3,27957.8,27786.1,0.25,36,27820.5,27697.1
2021-02-22,27978.5,27893.3,28022.6,27838.4,0.31,37,27890.9,27820.5
2021-02-23,27973.1,27989.2,28045.6,27946.9,-0.02,38,27978.5,27890.9
2021-02-24,27994.6,27981.4,28032.2,27876.8,0.08,39,27973.1,27978.5
2021-02-25,28035.2,28006.9,28196.8,27983.5,0.15,40,27994.6,27973.1
2021-02-26,27788.3,28040.2,28063.2,27762.5,-0.88,41,28035.2,27994.6
2021-03-01,27732.2,27801.6,27859.8,27698.2,-0.2,42,27788.3,28035.2
2021-03-02,27831.3,27748.8,27846.3,27606.9,0.36,43,27732.2,27788.3
2021-03-03,27766.7,27837.1,27891.3,27727.9,-0.23,44,27831.3,27732.2
2021-03-04,27544.5,27776.2,27785.4,27534.2,-0.8,45,27766.7,27831.3
2021-03-05,27448.4,27550.3,27574.5,27395.5,-0.35,46,27544.5,27766.7
2021-03-08,27268.5,27461.1,27486.5,27281.5,-0.66,47,27448.4,27544.5
2021-03-09,27436.8,27289.6,27480.6,27261.9,0.62,48,27268.5,27448.4
2021-03-10,27489.5,27442.6,27504.0,27361.1,0.19,49,27436.8,27268.5
2021-03-11,27624.3,27495.9,27641.1,27469.4,0.49,50,27489.5,27436.8
2021-03-12,27555.3,27623.8,27638.8,27459.1,-0.25,51,27624.3,27489.5
2021-03-15,27531.0,27557.1,27595.2,27491.8,-0.09,52,27555.3,27624.3
2021-03-16,27467.6,27534.5,27590.0,27427.2,-0.23,53,27531.0,27555.3
2021-03-17,27603.3,27482.6,27633.7,27409.6,0.49,54,27467.6,27531.0
2021-03-18,27481.9,27617.6,27656.2,27463.6,-0.44,55,27603.3,27467.6
2021-03-19,27463.8,27484.3,27549.2,27398.1,-0.07,56,27481.9,27603.3
2021-03-22,27536.6,27456.9,27571.2,27392.3,0.27,57,27463.8,27481.9
2021-03-23,27333.3,27537.8,27557.4,27330.2,-0.74,58,27536.6,27463.8
2021-03-24,27262.1,27352.1,27360.3,27258.1,-0.26,59,27333.3,27536.6
2021-03-25,27156.0,27267.4,27312.7,27151.4,-0.39,60,27262.1,27333.3
2021-03-26,27220.7,27156.0,27253.6,27154.9,0.24,61,27156.0,27262.1
2021-03-29,27134.9,27229.3,27234.0,27134.4,-0.31,62,27220.7,27156.0
2021-03-30,27024.2,27142.5,27168.0,27024.3,-0.41,63,27134.9,27220.7
2021-03-31,27061.2,27034.7,27137.4,27004.6,0.14,64,27024.2,27134.9
2021-04-01,27159.0,27068.1,27177.6,27020.7,0.36,65,27061.2,27024.2
2021-04-02,27138.5,27169.5,27203.2,27109.7,-0.08,66,27159.0,27061.2
2021-04-05,27258.6,27138.5,27281.7,27090.2,0.44,67,27138.5,27159.0
2021-04-06,27419.4,27266.7,27428.1,27229.7,0.59,68,27258.6,27138.5
2021-04-07,27407.8,27420.0,27515.9,27388.9,-0.04,69,27419.4,27258.6
2021-04-08,27498.8,27403.9,27536.4,27381.7,0.33,70,27407.8,27419.4
2021-04-09,27449.7,27501.8,27520.2,27371.9,-0.18,71,27498.8,27407.8
2021-04-12,27470.5,27428.4,27497.1,27382.9,0.08,72,27449.7,27498.8
2021-04-13,27560.5,27476.3,27584.2,27404.3,0.33,73,27470.5,27449.7
2021-04-14,27642.8,27564.6,27667.1,27561.2,0.3,74,27560.5,27470.5
2021-04-15,27606.8,27648.6,27676.7,27586.7,-0.13,75,27642.8,27560.5
2021-04-16,27641.2,27613.3,27671.2,27569.1,0.12,76,27606.8,27642.8
2021-04-19,27763.7,27644.7,27801.9,27547.8,0.44,77,27641.2,27606.8
2021-04-20,27764.9,27771.9,27875.8,27740.8,0,78,27763.7,27641.2
2021-04-21,27767.3,27775.4,27792.7,27685.4,0.01,79,27764.9,27763.7
2021-04-22,27718.6,27770.8,27849.1,27670.3,-0.18,80,27767.3,27764.9
2021-04-23,27912.4,27723.3,27917.1,27714.1,0.7,81,27718.6,27767.3
2021-04-26,27830.0,27900.9,27957.7,27790.4,-0.3,82,27912.4,27718.6
2021-04-27,27855.5,27835.3,27868.3,27781.8,0.09,83,27830.0,27912.4
2021-04-28,27939.9,27864.8,27969.9,27785.5,0.3,84,27855.5,27830.0
2021-04-29,27939.1,27948.0,28004.5,27901.2,0,85,27939.9,27855.5
2021-04-30,27706.3,27942.7,27959.9,27702.9,-0.83,86,27939.1,27939.9
2021-05-03,27805.4,27737.5,27842.4,27694.8,0.36,87,27706.3,27939.1
2021-05-04,27690.0,27813.6,27818.2,27671.4,-0.42,88,27805.4,27706.3
2021-05-05,27683.5,27702.0,27747.5,27638.5,-0.02,89,27690.0,27805.4
2021-05-06,27828.0,27685.3,27849.4,27650.1,0.52,90,27683.5,27690.0
2021-05-07,28047.9,27834.5,28075.9,27799.1,0.79,91,27828.0,27683.5
2021-05-10,27969.5,28049.3,28088.6,27966.1,-0.28,92,28047.9,27828.0
2021-05-11,28002.6,27971.3,28090.5,27954.5,0.12,93,27969.5,28047.9
2021-05-12,27827.3,28013.3,28021.4,27815.3,-0.63,94,28002.6,27969.5
2021-05-13,27827.7,27829.1,27908.9,27776.4,0,95,27827.3,28002.6
2021-05-14,27980.3,27844.4,28005.7,27822.5,0.55,96,27827.7,27827.3
2021-05-17,28003.2,27981.5,28047.0,27945.6,0.08,97,27980.3,27827.7
2021-05-18,28154.9,28009.0,28190.7,28004.4,0.54,98,28003.2,27980.3
2021-05-19,28050.4,28161.9,28221.0,28022.8,-0.37,99,28154.9,28003.2
2021-05-20,28174.8,28049.3,28190.2,28043.5,0.44,100,28050.4,28154.9
2021-05-21,28077.5,28186.7,28220.6,28037.3,-0.35,101,28174.8,28050.4
2021-05-24,28156.0,28077.6,28199.9,28057.5,0.28,102,28077.5,28174.8
2021-05-25,28250.8,28164.1,28289.5,28154.9,0.34,103,28156.0,28077.5
2021-05-26,28104.1,28254.9,28276.9,28086.3,-0.52,104,28250.8,28156.0
2021-05-27,28096.5,28110.5,28164.0,28072.2,-0.03,105,28104.1,28250.8
2021-05-28,28094.2,28109.8,28129.4,27959.4,-0.01,106,28096.5,28104.1
2021-05-31,28166.4,28097.7,28195.9,28075.0,0.26,107,28094.2,28096.5
2021-06-01,28139.0,28183.2,28242.3,28140.9,-0.1,108,28166.4,28094.2
2021-06-02,28129.5,28147.8,28179.0,28026.5,-0.03,109,28139.0,28166.4
2021-06-03,27934.9,28133.7,28148.7,27921.8,-0.69,110,28129.5,28139.0
2021-06-04,28033.0,27948.3,28085.0,27893.7,0.35,111,27934.9,28129.5
2021-06-07,28034.7,28042.4,28071.8,27951.1,0.01,112,28033.0,27934.9
2021-06-08,27934.9,28041.9,28069.9,27918.9,-0.36,113,28034.7,28033.0
2021-06-09,27954.6,27940.7,28068.3,27934.9,0.07,114,27934.9,28034.7
2021-06-10,27924.2,27966.4,27992.5,27866.4,-0.11,115,27954.6,27934.9
2021-06-11,27777.2,27929.5,27993.2,27747.4,-0.53,116,27924.2,27954.6
2021-06-14,27801.2,27787.6,27835.2,27746.6,0.09,117,27777.2,27924.2
2021-06-15,27820.9,27807.7,27882.0,27768.8,0.07,118,27801.2,27777.2
2021-06-16,27521.4,27829.7,27851.6,27522.1,-1.08,119,27820.9,27801.2
2021-06-17,27336.2,27527.8,27571.7,27308.8,-0.67,120,27521.4,27820.9
2021-06-18,27272.1,27346.7,27448.8,27246.9,-0.23,121,27336.2,27521.4
2021-06-21,27421.2,27296.4,27440.3,27212.3,0.55,122,27272.1,27336.2
2021-06-22,27487.3,27431.1,27525.9,27357.8,0.24,123,27421.2,27272.1
2021-06-23,27451.3,27492.5,27562.1,27426.9,-0.13,124,27487.3,27421.2
2021-06-24,27442.6,27461.9,27507.7,27416.8,-0.03,125,27451.3,27487.3
2021-06-25,27469.8,27449.0,27574.7,27436.4,0.1,126,27442.6,27451.3
2021-06-28,27449.1,27480.3,27504.5,27404.4,-0.08,127,27469.8,27442.6
2021-06-29,27382.3,27459.6,27474.6,27345.0,-0.24,128,27449.1,27469.8
2021-06-30,27283.1,27389.9,27422.8,27261.3,-0.36,129,27382.3,27449.1
2021-07-01,27262.3,27294.7,27350.4,27239.9,-0.08,130,27283.1,27382.3
2021-07-02,27284.8,27269.8,27313.7,27156.1,0.08,131,27262.3,27283.1
2021-07-05,27275.6,27283.8,27330.5,27250.0,-0.03,132,27284.8,27262.3
2021-07-06,27198.9,27282.5,27369.8,27166.2,-0.28,133,27275.6,27284.8
2021-07-07,27132.4,27206.4,27250.4,27118.1,-0.24,134,27198.9,27275.6
2021-07-08,27244.9,27142.2,27308.8,27120.7,0.41,135,27132.4,27198.9
2021-07-09,27307.9,27252.5,27331.6,27199.3,0.23,136,27244.9,27132.4
2021-07-12,27299.4,27308.6,27351.3,27247.7,-0.03,137,27307.9,27244.9
2021-07-13,27092.0,27308.7,27342.9,27089.2,-0.76,138,27299.4,27307.9
2021-07-14,27233.5,27099.5,27245.7,27089.2,0.52,139,27092.0,27299.4
